title,caracteristicas_pelicula
Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences. 30000000   7.7 5415.0 Animation, Comedy, Family English"
Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures. 65000000 Roll the dice and unleash the excitement! 6.9 2413.0 Adventure, Fantasy, Family English, Français"
Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max. 0 Still Yelling. Still Fighting. Still Ready for Love. 6.5 92.0 Romance, Comedy English"
Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe. 16000000 Friends are the people who let you be yourself... and never let you forget it. 6.1 34.0 Comedy, Drama, Romance English"
Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own. 0 Just When His World Is Back To Normal... He's In For The Surprise Of His Life! 5.7 173.0 Comedy English"
Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence. 60000000 A Los Angeles Crime Saga 7.7 1886.0 Action, Crime, Drama, Thriller English, Español"
Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it. 58000000 You are cordially invited to the most surprising merger of the year. 6.2 141.0 Comedy, Romance Français, English"
Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence. 0 The Original Bad Boys. 5.4 45.0 Action, Adventure, Drama, Family English, Deutsch"
Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer... 35000000 Terror goes into overtime. 5.5 174.0 Action, Adventure, Thriller English"
GoldenEye,"James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain. 58000000 No limits. No fears. No substitutes. 6.6 1194.0 Adventure, Action, Thriller English, Pусский, Español"
The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings. 62000000 Why can't the most powerful man in the world have the one thing he wants most? 6.5 199.0 Comedy, Drama, Romance English"
Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count. 0   5.7 210.0 Comedy, Horror English, Deutsch"
Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska. 0 Part Dog. Part Wolf. All Hero. 7.1 423.0 Family, Animation, Adventure English"
Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency. 44000000 Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation. 7.1 72.0 History, Drama English"
